t,A,B,C,D,E,
0.576673,816,170,13,1,0,
0.581553,815,171,13,1,0,
0.585973,814,172,13,1,0,
0.587627,813,173,13,1,0,
0.589482,812,174,13,1,0,
0.597068,811,175,13,1,0,
0.600494,810,176,13,1,0,
0.604676,809,177,13,1,0,
0.607129,808,178,13,1,0,
0.609280,808,177,14,1,0,
0.613046,807,178,14,1,0,
0.620089,806,179,14,1,0,
0.626100,805,180,14,1,0,
0.630462,804,181,14,1,0,
0.637081,804,180,15,1,0,
0.643943,803,181,15,1,0,
0.645705,802,182,15,1,0,
0.648328,801,183,15,1,0,
0.651017,800,184,15,1,0,
0.654374,799,185,15,1,0,
0.658908,798,186,15,1,0,
0.661937,797,187,15,1,0,
0.664184,796,188,15,1,0,
0.665785,795,189,15,1,0,
0.671252,794,190,15,1,0,
0.674993,793,191,15,1,0,
0.676697,793,190,16,1,0,
0.678291,792,191,16,1,0,
0.684660,791,192,16,1,0,
0.689164,790,193,16,1,0,
0.691195,789,194,16,1,0,
0.693178,788,195,16,1,0,
0.694794,787,196,16,1,0,
0.696600,786,197,16,1,0,
0.699672,785,198,16,1,0,
0.703171,784,199,16,1,0,
0.705525,784,198,17,1,0,
0.707656,783,199,17,1,0,
0.709843,782,200,17,1,0,
0.713969,782,199,18,1,0,
0.715785,781,200,18,1,0,
0.728421,780,201,18,1,0,
0.730124,779,202,18,1,0,
0.744803,778,203,18,1,0,
0.748579,777,204,18,1,0,
0.750451,776,205,18,1,0,
0.754573,775,206,18,1,0,
0.757508,774,207,18,1,0,
0.760938,773,208,18,1,0,
0.762830,772,209,18,1,0,
0.765559,771,210,18,1,0,
0.767150,770,211,18,1,0,
0.770942,769,212,18,1,0,
0.777499,768,213,18,1,0,
0.780526,767,214,18,1,0,
0.782824,766,215,18,1,0,
0.787814,766,214,19,1,0,
0.790601,765,215,19,1,0,
0.794918,765,214,20,1,0,
0.799075,764,215,20,1,0,
0.801000,763,216,20,1,0,
0.807422,762,217,20,1,0,
0.809263,761,218,20,1,0,
0.811929,760,219,20,1,0,
0.817749,759,220,20,1,0,
0.820132,759,219,21,1,0,
0.822720,758,220,21,1,0,
0.826106,757,221,21,1,0,
0.831227,756,222,21,1,0,
0.834601,755,223,21,1,0,
0.837781,754,224,21,1,0,
0.842143,753,225,21,1,0,
0.846033,752,226,21,1,0,
0.847724,752,225,22,1,0,
0.849706,751,226,22,1,0,
0.853723,750,227,22,1,0,
0.859537,749,228,22,1,0,
0.862764,749,227,23,1,0,
0.864691,748,228,23,1,0,
0.867650,747,229,23,1,0,
0.874241,746,230,23,1,0,
0.876550,745,231,23,1,0,
0.879086,744,232,23,1,0,
0.883426,744,232,22,2,0,
0.885185,743,233,22,2,0,
0.890581,742,234,22,2,0,
0.892424,741,235,22,2,0,
0.894893,740,236,22,2,0,
0.896579,739,237,22,2,0,
0.898858,738,238,22,2,0,
0.901252,737,239,22,2,0,
0.902991,736,240,22,2,0,
0.905747,735,241,22,2,0,
0.910153,734,242,22,2,0,
0.913163,733,243,22,2,0,
0.915994,732,244,22,2,0,
0.919881,731,245,22,2,0,
0.923629,730,246,22,2,0,
0.925251,729,247,22,2,0,
0.932230,728,248,22,2,0,
0.940934,727,249,22,2,0,
0.942734,726,250,22,2,0,
0.944488,725,251,22,2,0,
0.946135,724,252,22,2,0,
0.950756,723,253,22,2,0,
0.955483,722,254,22,2,0,
0.957603,722,253,23,2,0,
0.963275,721,254,23,2,0,
0.965452,720,255,23,2,0,
0.967639,719,256,23,2,0,
0.973257,718,257,23,2,0,
0.974971,717,258,23,2,0,
0.977054,716,259,23,2,0,
0.979892,715,260,23,2,0,
0.982699,715,259,24,2,0,
0.987096,714,260,24,2,0,
0.989161,713,261,24,2,0,
0.992209,712,262,24,2,0,
0.993906,711,263,24,2,0,
0.997030,711,262,25,2,0,
0.999374,710,263,25,2,0,
1.001340,709,264,25,2,0,
1.003676,708,265,25,2,0,
1.005848,707,266,25,2,0,
1.008036,706,267,25,2,0,
1.009804,705,268,25,2,0,
1.011625,704,269,25,2,0,
1.014673,703,270,25,2,0,
1.020158,702,271,25,2,0,
1.023145,701,272,25,2,0,
1.026465,700,273,25,2,0,
1.028860,700,272,26,2,0,
1.030873,699,273,26,2,0,
1.033953,698,274,26,2,0,
1.039674,697,275,26,2,0,
1.043952,697,274,27,2,0,
1.045657,696,275,27,2,0,
1.047337,695,276,27,2,0,
1.050718,694,277,27,2,0,
1.054768,693,278,27,2,0,
1.057060,692,279,27,2,0,
1.059135,691,280,27,2,0,
1.062004,690,281,27,2,0,
1.064053,689,282,27,2,0,
1.068054,688,283,27,2,0,
1.070263,687,284,27,2,0,
1.073013,686,285,27,2,0,
1.080927,685,286,27,2,0,
1.083977,684,287,27,2,0,
1.085669,683,288,27,2,0,
1.088197,682,289,27,2,0,
1.090672,681,290,27,2,0,
1.092580,680,291,27,2,0,
1.094776,679,292,27,2,0,
1.096551,678,293,27,2,0,
1.099235,677,294,27,2,0,
1.103374,676,295,27,2,0,
1.105401,676,294,28,2,0,
1.110081,675,295,28,2,0,
1.111773,674,296,28,2,0,
1.114406,674,295,29,2,0,
1.116972,673,296,29,2,0,
1.122410,672,297,29,2,0,
1.124274,671,298,29,2,0,
1.127391,670,299,29,2,0,
1.129747,669,300,29,2,0,
1.133743,668,301,29,2,0,
1.136163,667,302,29,2,0,
1.141838,666,303,29,2,0,
1.145537,665,304,29,2,0,
1.147501,664,305,29,2,0,
1.150707,663,306,29,2,0,
1.154046,662,307,29,2,0,
1.155770,661,308,29,2,0,
1.166421,660,309,29,2,0,
1.168711,660,308,30,2,0,
1.171159,660,307,31,2,0,
1.173123,659,308,31,2,0,
1.178236,658,309,31,2,0,
1.185535,657,310,31,2,0,
1.187352,656,311,31,2,0,
1.189703,655,312,31,2,0,
